iid,match,goal,round,gender,age,field_cd,imprace,imprelig,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,match_es,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr,sinc,intel,fun,amb,shar,norm_match,norm_match_es,career_c:Lawyer,career_c:Academic/Research,career_c:Psychologist,career_c:Doctor/Medicine,career_c:Engineer,career_c:Creative Arts/Entertainment,career_c:Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,career_c:Real Estate,career_c:International/Humanitarian Affairs,career_c:Undecided,career_c:Social Work,career_c:Speech Pathology,career_c:Politics,career_c:Pro sports/Athletics,career_c:Other,career_c:Architecture,country/continent:Africa,country/continent:Asia,country/continent:Australia,country/continent:Canada,country/continent:Central America,country/continent:Europe,country/continent:North America,country/continent:Siberia,country/continent:South America,country/continent:USA,race:Black/African American,race:European/Caucasian-American,race:Latino/Hispanic American,race:Asian/Pacific Islander/Asian-American,race:Other
11,0,1.0,10,1,27.0,8.0,7.0,3.0,5.0,4.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,7.0,0.0,8.0,9.0,8.0,7.0,5.0,35.0,20.0,20.0,20.0,0.0,5.0,6.8,7.8,7.2,7.6,7.1,5.1,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
12,2,1.0,10,1,22.0,1.0,1.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,7.0,3.0,9.0,9.0,10.0,9.0,9.0,60.0,0.0,0.0,40.0,0.0,0.0,6.2,6.7,9.1,5.9,5.7,4.7,0.2,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
13,4,2.0,10,1,22.0,1.0,3.0,5.0,7.0,1.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0,3.0,2.0,4.0,7.0,8.0,8.0,3.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,0.4,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14,8,2.0,10,1,23.0,1.0,1.0,1.0,4.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0,8.0,2.0,9.0,9.0,9.0,9.0,9.0,30.0,5.0,15.0,40.0,5.0,5.0,7.2,8.1,7.8,8.2,8.7,8.3,0.8,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
15,3,1.0,10,1,24.0,1.0,3.0,1.0,4.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0,5.0,2.0,7.0,7.0,9.0,7.0,9.0,30.0,10.0,20.0,10.0,10.0,20.0,7.6,8.5,8.8,7.5,8.25,6.75,0.3,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
16,2,1.0,10,1,25.0,8.0,9.0,2.0,5.0,1.0,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,8.0,6.0,1.0,7.0,3.0,6.0,6.0,8.0,8.0,6.0,50.0,0.0,30.0,10.0,0.0,10.0,6.666666666666667,7.0,7.2,6.9,7.1,6.8,0.2,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
17,1,3.0,10,1,30.0,13.0,1.0,1.0,3.0,2.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0,4.0,1.0,7.0,7.0,8.0,6.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0,5.6,5.0,5.4,4.5,5.4,4.2,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
18,1,1.0,10,1,27.0,8.0,8.0,8.0,6.0,1.0,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,6.0,2.0,1.0,5.0,2.0,6.0,8.0,8.0,6.0,9.0,33.33,11.11,11.11,11.11,11.11,22.22,6.4,6.6,6.7,6.3,6.6,5.0,0.1,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
19,9,4.0,10,1,28.0,8.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,10.0,2.0,10.0,6.0,10.0,10.0,10.0,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,7.6,8.3,7.6,7.7,0.9,0.1875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20,1,1.0,10,1,24.0,8.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,6.0,5.0,10.0,6.0,1.0,7.0,7.0,10.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,7.3,7.5,6.5,7.9,6.5,0.1,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
21,0,6.0,16,0,21.0,5.0,8.0,10.0,7.0,4.0,10.0,8.0,10.0,5.0,5.0,5.0,2.0,1.0,3.0,7.0,10.0,4.0,7.0,4.0,8.0,5.0,2.0,5.0,0.0,5.0,9.0,9.0,7.0,10.0,12.0,18.0,20.0,16.0,16.0,18.0,6.0625,7.6875,7.625,6.125,7.375,4.0625,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
22,2,1.0,16,0,27.0,9.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,8.0,8.0,8.0,1.0,2.0,6.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,4.0,2.0,7.0,8.0,8.0,7.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0,5.3125,6.5625,6.75,5.6875,6.3125,4.9375,0.125,0.125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
23,3,1.0,16,0,21.0,3.0,9.0,6.0,1.0,1.0,2.0,2.0,3.0,9.0,7.0,6.0,6.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,3.0,5.0,3.0,5.0,8.0,7.0,6.0,8.0,10.0,20.0,40.0,10.0,10.0,10.0,6.0,6.6,6.533333333333333,6.333333333333333,6.066666666666666,6.133333333333334,0.1875,0.1875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
24,0,2.0,16,0,27.0,11.0,2.0,3.0,6.0,4.0,10.0,1.0,10.0,9.0,6.0,6.0,10.0,6.0,3.0,6.0,1.0,6.0,9.0,8.0,8.0,6.0,7.0,5.0,1.0,7.0,9.0,8.0,9.0,8.0,10.0,20.0,20.0,15.0,20.0,15.0,6.375,7.384615384615385,7.444444444444445,7.416666666666667,7.7,6.5,0.0,0.0625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
25,0,1.0,16,0,25.0,11.0,10.0,2.0,5.0,2.0,7.0,4.0,7.0,7.0,6.0,3.0,5.0,6.0,8.0,9.0,9.0,7.0,10.0,6.0,8.0,8.0,4.0,5.0,0.0,7.0,9.0,8.0,7.0,6.0,20.0,20.0,15.0,15.0,15.0,15.0,6.125,7.1875,8.3125,6.625,8.8125,5.9375,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
26,0,1.0,16,0,23.0,11.0,2.0,4.0,5.0,2.0,9.0,4.0,9.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,9.0,6.0,4.0,5.0,1.0,7.0,0.0,7.0,8.0,8.0,8.0,8.0,20.0,20.0,20.0,15.0,15.0,10.0,4.0625,6.375,6.125,4.4375,5.875,3.625,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
27,2,1.0,16,0,22.0,3.0,1.0,5.0,6.0,2.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,5.0,1.0,6.0,6.0,7.0,7.0,7.0,17.0,10.0,18.0,20.0,25.0,10.0,2.9375,4.8125,5.75,3.8125,4.9375,2.8461538461538463,0.125,0.0625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
28,1,2.0,16,0,26.0,3.0,3.0,3.0,5.0,2.0,7.0,4.0,7.0,8.0,7.0,7.0,6.0,4.0,6.0,8.0,5.0,7.0,8.0,7.0,8.0,6.0,4.0,6.0,3.0,7.0,9.0,8.0,8.0,8.0,19.59,18.0,20.0,17.95,10.7,11.765,4.266666666666667,5.966666666666667,6.433333333333334,4.966666666666667,5.233333333333333,4.4,0.0625,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,2,1.0,16,0,22.0,11.0,4.0,5.0,6.0,1.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,7.0,3.0,6.0,9.0,7.0,8.0,8.0,20.0,22.0,18.0,15.0,15.0,10.0,6.3125,7.1875,6.5625,5.0625,6.2,4.125,0.125,0.1875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
30,2,1.0,16,0,23.0,1.0,2.0,4.0,7.0,2.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,3.0,1.0,7.0,8.0,8.0,9.0,8.0,10.0,20.0,20.0,20.0,20.0,10.0,5.6875,6.625,6.8125,5.75,6.6875,5.75,0.125,0.0625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
31,4,1.0,16,0,24.0,1.0,4.0,8.0,4.0,3.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,5.0,3.0,8.0,8.0,8.0,9.0,9.0,35.0,10.0,20.0,20.0,10.0,5.0,5.3125,6.25,6.625,5.5625,6.375,5.0625,0.25,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
32,0,1.0,16,0,27.0,3.0,1.0,1.0,4.0,2.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,3.0,0.0,7.0,5.0,9.0,9.0,7.0,50.0,0.0,50.0,0.0,0.0,0.0,6.25,7.4375,7.8125,7.357142857142857,7.733333333333333,6.066666666666666,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33,0,6.0,16,0,30.0,3.0,4.0,8.0,6.0,1.0,4.0,6.0,10.0,7.0,8.0,6.0,6.0,8.0,6.0,10.0,10.0,8.0,8.0,6.0,6.0,7.0,9.0,4.0,1.0,6.0,8.0,8.0,6.0,8.0,30.0,20.0,30.0,10.0,0.0,10.0,6.1875,6.875,6.8125,5.4375,6.875,4.9375,0.0,0.0625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
34,2,1.0,16,0,21.0,8.0,2.0,2.0,6.0,2.0,7.0,6.0,6.0,7.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,9.0,10.0,7.0,7.0,7.0,7.0,6.0,2.0,7.0,7.0,7.0,7.0,8.0,30.0,5.0,30.0,15.0,15.0,5.0,4.5,4.6875,5.6875,4.5625,5.5625,3.75,0.125,0.125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
35,5,1.0,16,0,25.0,2.0,9.0,7.0,6.0,3.0,9.0,7.0,9.0,8.0,8.0,8.0,5.0,6.0,9.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,3.0,7.0,10.0,8.0,9.0,9.0,9.0,7.0,20.0,23.0,23.0,22.0,7.0,5.0,6.4375,7.9375,8.1875,7.625,7.4375,7.6875,0.3125,0.625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
36,2,2.0,16,0,26.0,2.0,7.0,8.0,5.0,2.0,6.0,1.0,4.0,6.0,7.0,7.0,7.0,1.0,3.0,9.0,1.0,9.0,6.0,6.0,7.0,5.0,1.0,6.0,0.0,8.0,7.0,8.0,8.0,6.0,20.0,25.0,20.0,15.0,15.0,5.0,2.9375,3.5,4.6875,2.9375,4.9375,3.0,0.125,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
37,2,2.0,16,0,27.0,3.0,5.0,8.0,6.0,2.0,6.0,4.0,6.0,10.0,9.0,8.0,7.0,6.0,7.0,5.0,6.0,10.0,7.0,8.0,7.0,4.0,9.0,7.0,6.0,7.0,8.0,9.0,7.0,5.0,10.0,10.0,30.0,25.0,10.0,15.0,5.0625,5.0,6.4375,5.375,5.0625,4.375,0.125,0.375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
38,3,1.0,16,0,23.0,1.0,8.0,1.0,4.0,3.0,7.0,2.0,7.0,10.0,2.0,2.0,7.0,4.0,7.0,2.0,8.0,8.0,10.0,10.0,10.0,10.0,2.0,2.0,3.0,8.0,2.0,8.0,7.0,8.0,50.0,10.0,20.0,10.0,10.0,0.0,5.6875,7.5,8.375,5.625,7.4375,4.125,0.1875,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
39,1,5.0,16,0,24.0,1.0,6.0,4.0,6.0,4.0,3.0,2.0,4.0,10.0,10.0,8.0,7.0,1.0,5.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,1.0,2.0,3.0,6.0,9.0,8.0,6.0,7.0,20.0,20.0,20.0,15.0,15.0,10.0,5.25,6.5,8.0625,6.375,6.9375,4.5,0.0625,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
40,0,2.0,19,1,25.0,8.0,9.0,6.0,7.0,7.0,4.0,9.0,3.0,7.0,7.0,8.0,5.0,7.0,9.0,7.0,5.0,5.0,8.0,8.0,10.0,4.0,2.0,3.0,0.0,3.0,10.0,9.0,8.0,5.0,25.0,20.0,25.0,20.0,10.0,0.0,6.052631578947368,8.0,7.578947368421052,7.315789473684211,6.526315789473684,4.052631578947368,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
41,0,2.0,19,1,30.0,1.0,1.0,1.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,10.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,7.0,2.0,5.0,7.0,8.0,5.0,5.0,30.0,20.0,10.0,30.0,0.0,10.0,7.105263157894737,6.842105263157895,7.105263157894737,7.105263157894737,6.842105263157895,8.0,0.0,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
42,0,2.0,19,1,23.0,5.0,1.0,6.0,7.0,4.0,1.0,1.0,7.0,5.0,3.0,3.0,3.0,1.0,1.0,9.0,8.0,5.0,7.0,2.0,5.0,2.0,1.0,6.0,1.0,6.0,9.0,8.0,6.0,4.0,20.0,25.0,20.0,15.0,10.0,10.0,5.368421052631579,8.421052631578947,8.105263157894736,6.684210526315789,7.684210526315789,3.375,0.0,0.05263157894736842,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43,1,6.0,19,1,24.0,8.0,1.0,1.0,6.0,3.0,8.0,9.0,6.0,5.0,7.0,7.0,2.0,5.0,5.0,9.0,6.0,7.0,4.0,6.0,5.0,2.0,1.0,3.0,0.0,3.0,8.0,7.0,3.0,2.0,25.0,35.0,30.0,10.0,0.0,0.0,5.0,5.2631578947368425,6.105263157894737,4.526315789473684,5.578947368421052,3.0,0.05263157894736842,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
44,4,1.0,19,1,24.0,3.0,3.0,3.0,3.0,1.0,9.0,1.0,8.0,7.0,8.0,8.0,10.0,6.0,7.0,8.0,1.0,7.0,3.0,8.0,1.0,6.0,8.0,7.0,3.0,7.0,9.0,9.0,8.0,9.0,25.0,15.0,25.0,25.0,15.0,15.0,7.0,6.526315789473684,6.7894736842105265,6.5,6.578947368421052,6.157894736842105,0.21052631578947367,0.15789473684210525,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
45,4,2.0,19,1,28.0,8.0,6.0,6.0,6.0,3.0,9.0,7.0,3.0,6.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,3.0,7.0,9.0,7.0,8.0,8.0,6.0,7.0,25.0,15.0,25.0,15.0,0.0,20.0,7.0,6.894736842105263,6.894736842105263,6.578947368421052,6.526315789473684,6.105263157894737,0.21052631578947367,0.47368421052631576,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
46,4,2.0,19,1,26.0,8.0,2.0,3.0,6.0,2.0,10.0,7.0,5.0,6.0,7.0,7.0,8.0,3.0,7.0,7.0,4.0,4.0,6.0,5.0,6.0,2.0,7.0,7.0,4.0,7.0,8.0,7.0,5.0,7.0,20.0,35.0,20.0,10.0,10.0,5.0,7.157894736842105,7.7368421052631575,7.684210526315789,7.7894736842105265,7.7894736842105265,7.526315789473684,0.21052631578947367,0.21052631578947367,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
47,1,1.0,19,1,30.0,8.0,2.0,2.0,6.0,1.0,6.0,7.0,2.0,8.0,7.0,6.0,3.0,7.0,4.0,7.0,4.0,5.0,8.0,8.0,7.0,2.0,1.0,8.0,5.0,8.0,7.0,9.0,9.0,3.0,20.0,20.0,25.0,25.0,5.0,5.0,5.9411764705882355,5.7894736842105265,6.2631578947368425,5.2105263157894735,6.052631578947368,4.368421052631579,0.05263157894736842,0.2631578947368421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
48,1,1.0,19,1,22.0,12.0,9.0,2.0,5.0,2.0,3.0,1.0,6.0,7.0,7.0,8.0,1.0,5.0,8.0,4.0,6.0,10.0,10.0,6.0,8.0,6.0,2.0,6.0,2.0,7.0,9.0,7.0,6.0,6.0,30.0,15.0,25.0,25.0,5.0,0.0,5.842105263157895,7.105263157894737,6.631578947368421,5.842105263157895,5.9,3.9444444444444446,0.05263157894736842,0.10526315789473684,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
49,6,1.0,19,1,25.0,8.0,1.0,3.0,3.0,2.0,10.0,7.0,5.0,7.0,6.0,7.0,2.0,8.0,7.0,9.0,5.0,5.0,6.0,5.0,8.0,2.0,7.0,6.0,4.0,7.0,10.0,10.0,10.0,8.0,20.0,20.0,20.0,20.0,5.0,15.0,7.473684210526316,7.631578947368421,7.526315789473684,6.7368421052631575,6.947368421052632,4.866666666666666,0.3157894736842105,0.21052631578947367,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
